,Season,Lg,Tm,W,L,Finish,Unnamed: 6,Age,Ht.,Wt.,Unnamed: 10,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2021-22,NBA,CHO,43,39,3,,25.5,6-6,211,,82,19880,3508,7497,.468,1143,3130,.365,2365,4367,.542,1298,1753,.740,888,2767,3655,2302,707,402,1087,1629,9457
1,2020-21,NBA,CHO,33,39,4,,24.6,6-5,213,,72,17355,2875,6324,.455,985,2666,.369,1890,3658,.517,1146,1505,.761,762,2389,3151,1933,565,344,1069,1298,7881
2,2019-20,NBA,CHO,23,42,3,,24.3,6-5,217,,65,15750,2425,5586,.434,785,2231,.352,1640,3355,.489,1052,1406,.748,715,2066,2781,1549,428,268,949,1223,6687
3,2018-19,NBA,CHO,39,43,2,,26.6,6-6,211,,82,19830,3297,7362,.448,977,2783,.351,2320,4579,.507,1510,1895,.797,814,2778,3592,1905,591,405,1001,1550,9081
4,2017-18,NBA,CHO,36,46,3,,26.6,6-7,218,,82,19780,3197,7106,.450,824,2233,.369,2373,4873,.487,1656,2216,.747,827,2901,3728,1770,559,373,1041,1409,8874
5,2016-17,NBA,CHO,36,46,4,,26.5,6-7,215,,82,19830,3093,7000,.442,824,2347,.351,2269,4653,.488,1591,1953,.815,721,2853,3574,1891,571,390,942,1360,8601
6,2015-16,NBA,CHO,48,34,3,,26.0,6-7,216,,82,19855,3036,6922,.439,873,2410,.362,2163,4512,.479,1534,1941,.790,734,2869,3603,1778,595,438,1030,1487,8479
7,2014-15,NBA,CHO,33,49,4,,26.0,6-6,220,,82,19905,2913,6932,.420,498,1566,.318,2415,5366,.450,1397,1867,.748,820,2793,3613,1654,499,448,976,1494,7721
8,2013-14,NBA,CHA,43,39,3,,25.5,6-6,221,,82,19905,2976,6730,.442,516,1471,.351,2460,5259,.468,1474,2000,.737,776,2724,3500,1778,499,421,1010,1493,7942
9,2012-13,NBA,CHA,21,61,4,,24.4,6-6,219,,82,19805,2823,6649,.425,469,1399,.335,2354,5250,.448,1546,2060,.750,917,2389,3306,1587,591,479,1153,1561,7661
