,Season,Lg,Tm,W,L,Finish,Unnamed: 6,Age,Ht.,Wt.,Unnamed: 10,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2021-22,NBA,MIA,53,29,1,,28.2,6-5,220,,82,19855,3246,6954,.467,1114,2936,.379,2132,4018,.531,1416,1753,.808,807,2778,3585,2090,606,265,1194,1679,9022
1,2020-21,NBA,MIA,40,32,2,,27.4,6-6,217,,72,17380,2824,6029,.468,932,2606,.358,1892,3423,.553,1201,1520,.790,579,2409,2988,1895,569,286,1013,1363,7781
2,2019-20,NBA,MIA,44,29,1,,25.9,6-6,221,,73,17745,2880,6160,.468,979,2584,.379,1901,3576,.532,1440,1840,.783,620,2619,3239,1892,547,332,1088,1501,8179
3,2018-19,NBA,MIA,39,43,3,,27.0,6-7,221,,82,19730,3251,7218,.450,928,2658,.349,2323,4560,.509,1238,1782,.695,921,2879,3800,1991,627,448,1208,1712,8668
4,2017-18,NBA,MIA,44,38,1,,26.5,6-6,217,,82,19930,3184,6997,.455,903,2506,.360,2281,4491,.508,1209,1601,.755,763,2801,3564,1862,620,437,1179,1648,8480
5,2016-17,NBA,MIA,41,41,3,,26.5,6-6,218,,82,19780,3202,7037,.455,808,2213,.365,2394,4824,.496,1248,1768,.706,872,2705,3577,1742,588,469,1102,1680,8460
6,2015-16,NBA,MIA,48,34,1,,28.4,6-7,221,,82,19830,3150,6697,.470,498,1480,.336,2652,5217,.508,1406,1889,.744,807,2811,3618,1709,553,531,1155,1502,8204
7,2014-15,NBA,MIA,37,45,3,,28.5,6-6,212,,82,19730,2885,6330,.456,556,1659,.335,2329,4671,.499,1438,1940,.741,747,2461,3208,1626,642,372,1214,1636,7764
8,2013-14,NBA,MIA,54,28,1,,30.6,6-6,215,,82,19880,3142,6272,.501,665,1829,.364,2477,4443,.558,1431,1884,.760,627,2397,3024,1847,732,367,1212,1596,8380
9,2012-13,NBA,MIA,66,16,1,,30.3,6-6,216,,82,19880,3148,6348,.496,717,1809,.396,2431,4539,.536,1423,1887,.754,676,2490,3166,1890,710,441,1143,1533,8436
10,2011-12,NBA,MIA,46,20,1,,28.3,6-6,221,,66,16040,2446,5212,.469,370,1030,.359,2076,4182,.496,1238,1598,.775,686,2060,2746,1317,585,355,1002,1282,6500
