,Season,Lg,Tm,W,L,Finish,Unnamed: 6,Age,Ht.,Wt.,Unnamed: 10,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2021-22,NBA,NOP,36,46,3,,25.6,6-6,212,,82,19755,3294,7212,0.457,873,2629,0.332,2421,4583,0.528,1501,1903,0.789,981,2726,3707,2047,680,328,1153,1612,8962
1,2020-21,NBA,NOP,31,41,4,,24.8,6-6,221,,72,17430,3060,6412,0.477,762,2190,0.348,2298,4222,0.544,1369,1878,0.729,845,2568,3413,1872,545,315,1052,1295,8251
2,2019-20,NBA,NOP,30,42,5,,25.4,6-5,213,,72,17430,3065,6598,0.465,982,2656,0.37,2083,3942,0.528,1229,1687,0.729,797,2551,3348,1932,539,358,1181,1524,8341
3,2018-19,NBA,NOP,33,49,4,,25.7,6-6,219,,82,19755,3581,7563,0.473,842,2449,0.344,2739,5114,0.536,1462,1921,0.761,909,2969,3878,2216,610,441,1215,1732,9466
4,2017-18,NBA,NOP,48,34,2,,27.6,6-6,218,,82,19955,3500,7241,0.483,837,2312,0.362,2663,4929,0.54,1324,1716,0.772,712,2924,3636,2195,657,485,1223,1570,9161
5,2016-17,NBA,NOP,34,48,4,,25.7,6-6,220,,82,19905,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,703,2879,3582,1869,638,453,1054,1490,8556
6,2015-16,NBA,NOP,30,52,5,,26.6,6-6,223,,82,19780,3153,7040,0.448,702,1951,0.36,2451,5089,0.482,1415,1823,0.776,782,2712,3494,1818,633,342,1102,1713,8423
7,2014-15,NBA,NOP,45,37,5,,25.3,6-7,221,,82,19780,3108,6795,0.457,586,1583,0.37,2522,5212,0.484,1345,1790,0.751,942,2621,3563,1806,553,510,1087,1530,8147
8,2013-14,NBA,NOP,34,48,5,,24.3,6-7,217,,82,19855,3101,6761,0.459,486,1303,0.373,2615,5458,0.479,1489,1936,0.769,933,2486,3419,1745,647,523,1129,1857,8177
9,2012-13,NBA,NOH,27,55,5,,24.0,6-7,219,,82,19780,2955,6589,0.448,535,1474,0.363,2420,5115,0.473,1269,1636,0.776,988,2426,3414,1721,520,440,1193,1673,7714
10,2011-12,NBA,NOH,21,45,5,,25.5,6-7,221,,66,15940,2300,5103,0.451,259,777,0.333,2041,4326,0.472,1057,1397,0.757,724,1991,2715,1368,488,316,1024,1324,5916
11,2010-11,NBA,NOH,46,36,3,,26.3,6-6,215,,82,19830,2944,6416,0.459,444,1232,0.36,2500,5184,0.482,1452,1897,0.765,824,2468,3292,1691,624,359,1069,1719,7784
12,2009-10,NBA,NOH,37,45,5,,27.5,6-6,217,,82,19830,3178,6842,0.464,571,1572,0.363,2607,5270,0.495,1293,1661,0.778,852,2450,3302,1828,625,300,1103,1606,8220
13,2008-09,NBA,NOH,49,33,4,,28.2,6-7,217,,82,19755,2911,6366,0.457,556,1526,0.364,2355,4840,0.487,1479,1833,0.807,802,2453,3255,1609,593,338,1029,1665,7857
14,2007-08,NBA,NOH,56,26,1,,27.1,6-6,214,,82,19805,3164,6796,0.466,630,1621,0.389,2534,5175,0.49,1312,1707,0.769,937,2494,3431,1785,637,321,974,1531,8270
15,2006-07,NBA,NOK,39,43,4,,26.4,6-6,214,,82,19880,2971,6674,0.445,455,1256,0.362,2516,5418,0.464,1436,1941,0.74,1025,2512,3537,1537,522,347,1187,1620,7833
16,2005-06,NBA,NOK,38,44,4,,26.3,6-6,212,,82,19805,2831,6428,0.44,300,885,0.339,2531,5543,0.457,1649,2176,0.758,918,2379,3297,1519,611,311,1095,1786,7611
17,2004-05,NBA,NOH,18,64,5,,27.5,6-6,219,,82,19930,2718,6556,0.415,415,1316,0.315,2303,5240,0.44,1401,1830,0.766,1019,2281,3300,1724,550,310,1217,1883,7252
18,2003-04,NBA,NOH,41,41,3,,30.3,6-6,219,,82,19830,2772,6605,0.42,531,1666,0.319,2241,4939,0.454,1454,1937,0.751,1091,2418,3509,1716,708,346,1228,1715,7529
19,2002-03,NBA,NOH,47,35,3,,29.1,6-6,223,,82,19905,2914,6695,0.435,404,1075,0.376,2510,5620,0.447,1467,1910,0.768,1097,2475,3572,1807,656,394,1212,1769,7699
