,Season,Lg,Tm,W,L,Finish,Unnamed: 6,Age,Ht.,Wt.,Unnamed: 10,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2021-22,NBA,TOR,48,34,3,,24.8,6-6,216,,82,19855,3332,7489,.445,979,2808,.349,2353,4681,.503,1327,1749,.759,1095,2622,3717,1809,738,376,1021,1607,8970
1,2020-21,NBA,TOR,27,45,5,,26.6,6-5,215,,72,17305,2859,6383,.448,1041,2831,.368,1818,3552,.512,1252,1536,.815,680,2314,2994,1735,618,389,952,1526,8011
2,2019-20,NBA,TOR,53,19,1,,26.6,6-5,215,,72,17380,2897,6331,.458,995,2663,.374,1902,3668,.519,1329,1670,.796,685,2583,3268,1816,636,358,1067,1559,8118
3,2018-19,NBA,TOR,58,24,1,,27.3,6-6,219,,82,19880,3460,7305,.474,1015,2771,.366,2445,4534,.539,1449,1803,.804,786,2920,3706,2085,680,437,1150,1724,9384
4,2017-18,NBA,TOR,59,23,1,,25.8,6-6,223,,82,19830,3383,7169,.472,968,2705,.358,2415,4464,.541,1422,1790,.794,800,2807,3607,1995,626,500,1095,1783,9156
5,2016-17,NBA,TOR,51,31,2,,26.1,6-6,222,,82,19780,3211,6918,.464,725,1996,.363,2486,4922,.505,1615,2028,.796,871,2676,3547,1517,677,400,1041,1708,8762
6,2015-16,NBA,TOR,56,26,1,,26.3,6-6,222,,82,19780,3006,6669,.451,708,1915,.370,2298,4754,.483,1702,2190,.777,836,2724,3560,1536,636,449,1073,1610,8422
7,2014-15,NBA,TOR,49,33,1,,26.1,6-6,213,,82,19855,3108,6829,.455,726,2060,.352,2382,4769,.499,1585,2014,.787,881,2526,3407,1701,615,357,1057,1712,8527
8,2013-14,NBA,TOR,48,34,1,,25.6,6-6,211,,82,19955,2992,6718,.445,713,1917,.372,2279,4801,.475,1608,2055,.782,935,2552,3487,1737,577,343,1159,1882,8305
9,2012-13,NBA,TOR,34,48,5,,25.4,6-6,213,,82,19980,2979,6685,.446,571,1665,.343,2408,5020,.480,1442,1831,.788,871,2426,3297,1765,595,392,1124,1836,7971
10,2011-12,NBA,TOR,23,43,4,,25.7,6-7,222,,66,15965,2268,5154,.440,365,1075,.340,1903,4079,.467,1085,1410,.770,697,2074,2771,1382,429,321,1001,1532,5986
11,2010-11,NBA,TOR,22,60,5,,24.5,6-7,218,,82,19780,3144,6755,.465,345,1091,.316,2799,5664,.494,1491,1976,.755,963,2343,3306,1795,581,350,1206,1807,8124
12,2009-10,NBA,TOR,40,42,2,,25.2,6-7,216,,82,19780,3199,6631,.482,518,1397,.371,2681,5234,.512,1618,2118,.764,806,2507,3313,1804,469,384,1100,1819,8534
13,2008-09,NBA,TOR,33,49,4,,27.0,6-7,217,,82,19805,3054,6673,.458,479,1289,.372,2575,5384,.478,1534,1861,.824,802,2513,3315,1835,523,390,1098,1593,8121
14,2007-08,NBA,TOR,41,41,2,,26.3,6-7,217,,82,19830,3148,6726,.468,572,1459,.392,2576,5267,.489,1347,1658,.812,790,2496,3286,1953,570,336,959,1596,8215
15,2006-07,NBA,TOR,47,35,1,,26.0,6-6,216,,82,19755,3032,6547,.463,531,1464,.363,2501,5083,.492,1562,1982,.788,755,2480,3235,1822,581,321,1104,1672,8157
16,2005-06,NBA,TOR,27,55,4,,25.9,6-7,221,,82,19955,3013,6639,.454,608,1620,.375,2405,5019,.479,1653,2089,.791,864,2291,3155,1593,529,272,1071,1965,8287
17,2004-05,NBA,TOR,33,49,4,,27.0,6-7,216,,82,19805,2952,6656,.444,648,1681,.385,2304,4975,.463,1626,2101,.774,844,2444,3288,1670,621,317,1087,1876,8178
18,2003-04,NBA,TOR,33,49,6,,27.6,6-7,215,,82,19980,2654,6348,.418,461,1294,.356,2193,5054,.434,1237,1650,.750,830,2419,3249,1574,604,402,1164,1748,7006
19,2002-03,NBA,TOR,24,58,7,,27.6,6-7,212,,82,19805,2847,6664,.427,409,1193,.343,2438,5471,.446,1350,1879,.718,1023,2355,3378,1583,609,392,1181,1761,7453
20,Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,2001-02,NBA,TOR,42,40,3,,29.3,6-7,213,,82,19755,2919,6727,.434,387,1109,.349,2532,5618,.451,1269,1717,.739,1114,2336,3450,1779,688,454,1174,1771,7494
22,2000-01,NBA,TOR,47,35,2,,29.9,6-6,210,,82,19955,3048,6972,.437,429,1164,.369,2619,5808,.451,1482,1984,.747,1118,2529,3647,2004,599,519,1080,1745,8007
